"source_id,""orig_source_name"",""subklass"",""classification1"",""classification2"""
"446,""Tyrosine"","""",""Tyrosine"",""Amino acid"""
"446,""L-Tyrosine"","""",""Tyrosine"",""Amino acid"""
"455,""Theobromine"","""",""Other"", ""Other"""
"465,""Valine"","""",""Valine"", ""Amino acid"""
"465,""L-Valine"","""",""Valine"", ""Amino acid"""
"474,""Lysine"",""Amino acids, peptides, and analogues"",""Lysine"", ""Amino acid"""
"484,""Glycine"",""Amino acids, peptides, and analogues"",""Glycine"", ""Amino acid"""
"556,""Alanine"",""Amino acids, peptides, and analogues"",""Alanine"", ""Amino acid"""
"556,""L-Alanine"",""Amino acids, peptides, and analogues"",""Alanine"", ""Amino acid"""
"565,""Vitamin E, total"",""Quinone and hydroquinone lipids"",""Vitamin"", ""Vitamin"""
"565,""Vitamin E, alpha tocopherol"",""Quinone and hydroquinone lipids"",""Vitamin"", ""Vitamin"""
"565,""Vitamin E (alpha-tocopherol)"",""Quinone and hydroquinone lipids"",""Vitamin"", ""Vitamin"""
"565,""Vitamin E, added"",""Quinone and hydroquinone lipids"",""Vitamin"", ""Vitamin"""
"565,""alpha-Tocopherol"",""Quinone and hydroquinone lipids"",""Vitamin"", ""Vitamin"""
"570,""Proline"",""Amino acids, peptides, and analogues"",""Proline"", ""Amino acid"""
"570,""L-Proline"",""Amino acids, peptides, and analogues"",""Proline"", ""Amino acid"""
"574,""Vitamin B6 (as pyridoxinehydrochloride), total"",""Pyridoxines"",""Vitamin B6"", ""Important vitamin"""
"574,""Vitamin B-6"",""Pyridoxines"",""Vitamin B6"", ""Important vitamin"""
"574,""Pyridoxine"",""Pyridoxines"",""Vitamin B6"", ""Important vitamin"""
"710,""Choline, total"",""Cholines"",""Other"", ""Other"""
"753,""Alcohol (ethanol)"",""Primary alcohols"",""Other"", ""Other"""
"753,""Alcohol, ethyl"",""Primary alcohols"",""Other"", ""Other"""
"1014,""Niacin, total"",""Pyridinecarboxylic acids and derivatives"",""Vitamin"", ""Vitamin"""
"1014,""Niacin"",""Pyridinecarboxylic acids and derivatives"",""Vitamin"", ""Vitamin"""
"1014,""Niacin, from tryptophan"",""Pyridinecarboxylic acids and derivatives"",""Vitamin"", ""Vitamin"""
"1014,""Nicotinic acid"",""Pyridinecarboxylic acids and derivatives"",""Vitamin"", ""Vitamin"""
"1128,""Starch (dextrins and glycogen)"","""",""Other"", ""Other"""
"1131,""Carbohydrates, added sugar (sucrose)"",""Glycosyl compounds"",""Sugar"", ""Sugar"""
"1131,""Sucrose"",""Glycosyl compounds"",""Sugar"", ""Sugar"""
"1145,""Lactose"",""Glycosyl compounds"",""Sugar"", ""Sugar"""
"1193,""Maltose"",""Glycosyl compounds"",""Sugar"", ""Sugar"""
"1224,""Vitamin C, total"","""",""Vitamin"", ""Vitamin"""
"1224,""Vitamin C, L-ascorbic acid"","""",""Vitamin"", ""Vitamin"""
"1224,""Vitamin C, total ascorbic acid"","""",""Vitamin"", ""Vitamin"""
"1224,""L-Ascorbic acid"","""",""Vitamin"", ""Vitamin"""
"1946,""Leucine"",""Amino acids, peptides, and analogues"",""Leucine"", ""Amino acid"""
"1946,""L-Leucine"",""Amino acids, peptides, and analogues"",""Leucine"", ""Amino acid"""
"2100,""Caffeine"","""",""Other"", ""Other"""
"2250,""Tryptophan"",""Indolyl carboxylic acids and derivatives"",""Tryptophan"", ""Amino acid"""
"2251,""(±)-Tryptophan"",""Indolyl carboxylic acids and derivatives"",""Tryptophan"", ""Amino acid"""
"2257,""Arginine"",""Amino acids, peptides, and analogues"",""Arginine"", ""Amino acid"""
"2431,""Tocopherol, gamma"",""Quinone and hydroquinone lipids"",""Vitamin"", ""Vitamin"""
"2432,""Tocopherol, delta"",""Quinone and hydroquinone lipids"",""Vitamin"", ""Vitamin"""
"2520,""(R)-Oxypeucedanin"","""",""Other"", ""Other"""
"2890,""C14:0"","""",""SFA"", ""SFA"""
"2890,""14:0"","""",""SFA"", ""SFA"""
"2890,""Tetradecanoic acid"","""",""SFA"", ""SFA"""
"2928,""C20:0"","""",""SFA"", ""SFA"""
"2928,""20:0"","""",""SFA"", ""SFA"""
"2928,""Eicosanoic acid"","""",""SFA"", ""SFA"""
"2935,""Nervonic acid"",""Fatty acids and conjugates"",""MUFA"", ""MUFA"""
"2942,""C18:0"","""",""SFA"", ""SFA"""
"2942,""18:0"","""",""SFA"", ""SFA"""
"2942,""Octadecanoic acid"","""",""SFA"", ""SFA"""
"2943,""C18:4, n-3"","""",""PUFA"", ""PUFA"""
"2943,""Stearidonic acid"","""",""PUFA"", ""PUFA"""
"2944,""18:3 n-6 c,c,c"","""",""PUFA"", ""PUFA"""
"2953,""C18:1, n-7"",""Fatty acids and conjugates"",""Vaccenic acid"", ""Vaccenic acid"""
"2953,""18:1-11t (18:1t n-7)"",""Fatty acids and conjugates"",""Vaccenic acid"", ""Vaccenic acid"""
"2953,""Vaccenic acid"",""Fatty acids and conjugates"",""Vaccenic acid"", ""Vaccenic acid"""
"3004,""C22:6, n-3"","""",""DH acid"", ""DH acid"""
"3004,""22:6 n-3 (DHA)"","""",""DH acid"", ""DH acid"""
"3004,""Doconexent"","""",""DH acid"", ""DH acid"""
"3006,""Cetoleic acid"","""",""MUFA"", ""MUFA"""
"3011,""C12:0"",""Fatty acids and conjugates"",""SFA"", ""SFA"""
"3011,""12:0"",""Fatty acids and conjugates"",""SFA"", ""SFA"""
"3011,""Dodecanoic acid"",""Fatty acids and conjugates"",""SFA"", ""SFA"""
"3103,""C20:5, n-3"",""Fatty acids and conjugates"",""PUFA"", ""PUFA"""
"3103,""20:5 n-3 (EPA)"",""Fatty acids and conjugates"",""PUFA"", ""PUFA"""
"3103,""Eicosapentaenoic acid"",""Fatty acids and conjugates"",""PUFA"", ""PUFA"""
"3307,""Nonanoic acid"",""Fatty acids and conjugates"",""SFA"", ""SFA"""
"3337,""C8:0"",""Fatty acids and conjugates"",""SFA"", ""SFA"""
