orig_food_common_name,orig_food_id
"Beef brisket, soaked in brine",0551
"Beef, brisket, anterior part, raw",0436
"Beef, brisket, middle part, raw",0437
"Beef, brisket, posterior part, raw",0438
"Beef, chuck, raw",0432
"Beef, entrecote ""cap on"", raw",0430
"Beef, eye of round, raw",0422
"Beef, fillet, defatted, raw",0428
"Beef, flank, raw",0440
"Beef, flatribs, raw",0439
"Beef, low fat, minced, raw",1342
"Beef, meat, 5-10 % fat, raw",0201
"Beef, meat, approx. 15 % fat, raw",0202
"Beef, meat, approx. 25 % fat, raw",0200
"Beef, meat, lean (<5 % fat), raw",0199
"Beef, mince, raw",1296
"Beef, neck, raw",0433
"Beef, outside, round, raw",0420
"Beef, rump, raw",0423
"Beef, rumpsteak ""cap off"", raw",0425
"Beef, rumpsteak ""cap on"", raw",0424
"Beef, shin + leg (shank), raw",0417
"Beef, shoulder, dorsal part, raw",0434
"Beef, shoulder, ventral part",0435
"Beef, sirloin, raw",0427
"Beef, striploin ""cap off"", raw",0431
"Beef, striploin ""cap on"", raw",0429
"Beef, T-bone steak, raw",0426
"Beef, thick flank ""cap off"", raw",0421
"Beef, topside ""cap off"", raw",0419
"Beef, topside ""cap on"", raw",0418
"Heart, beef, raw",0079
"Heart, veal, raw",0077
"Kidney, calf, raw",0189
"Kidney, ox, raw",0190
"Liver, calf, raw",0144
"Liver, ox, raw",0145
"Roastbeef, sliced",1450
"Sweatbread, veal, raw",0938
"Tongue, calf, cured",0936
"Tongue, calf, raw",0322
"Tongue, ox, raw",0323
"Veal, eye of round, salted, boiled",0549
"Veal, fat, raw",0114
"Veal, lean meat, raw",0111
"Veal, medium fat, raw",0113
"Veal, thin fat, raw",0112
"CARL BUDDIG, Cooked Corned Beef, Chopped, Pressed",07270
"CARL BUDDIG, Smoked Sliced Beef",07272
"CARL BUDDIG. Cooked Smoked Beef Pastrami, Chopped, Pressed",07274
"Pastrami, beef, 98% fat-free",07925
"Beef, grass-fed, strip steaks, lean only, raw",13000
"Beef, carcass, separable lean and fat, choice, raw",13001
"Beef, carcass, separable lean and fat, select, raw",13002
"Beef, retail cuts, separable fat, raw",13019
"Beef, retail cuts, separable fat, cooked",13020
"Beef, brisket, whole, separable lean only, all grades, raw",13023
"Beef, grass-fed, ground, raw",13047
"Beef, brisket, flat half, separable lean and fat, trimmed to 1/8"" fat, select, cooked, braised",13055
"Beef, flank, steak, separable lean and fat, trimmed to 0"" fat, choice, raw",13065
"Beef, flank, steak, separable lean and fat, trimmed to 0"" fat, choice, cooked, braised",13066
"Beef, flank, steak, separable lean and fat, trimmed to 0"" fat, choice, cooked, broiled",13067
"Beef, flank, steak, separable lean only, trimmed to 0"" fat, choice, raw",13068
"Beef, flank, steak, separable lean only, trimmed to 0"" fat, choice, cooked, braised",13069
"Beef, flank, steak, separable lean only, trimmed to 0"" fat, choice, cooked, broiled",13070
"Beef, rib, eye, small end (ribs 10-12), separable lean and fat, trimmed to 0"" fat, choice, raw",13095
"Beef, rib, eye, small end (ribs 10-12), separable lean and fat, trimmed to 0"" fat, choice, cooked, broiled",13096
"Beef, rib, eye, small end (ribs 10-12), separable lean only, trimmed to 0"" fat, choice, raw",13097
"Beef, rib, eye, small end (ribs 10-12), separable lean only, trimmed to 0"" fat, choice, cooked, broiled",13098
"Beef, rib, shortribs, separable lean and fat, choice, raw",13147
"Beef, rib, shortribs, separable lean and fat, choice, cooked, braised",13148
"Beef, rib, shortribs, separable lean only, choice, raw",13149
"Beef, rib, shortribs, separable lean only, choice, cooked, braised",13150
"Beef, round, full cut, separable lean only, trimmed to 1/4"" fat, choice, cooked, broiled",13156
"Beef, round, full cut, separable lean only, trimmed to 1/4"" fat, select, cooked, broiled",13158
"Beef, brisket, flat half, separable lean and fat, trimmed to 0"" fat, choice, cooked, braised",13165
"USDA Commodity, beef, canned",13166
"Beef, shank crosscuts, separable lean only, trimmed to 1/4"" fat, choice, raw",13227
"Beef, shank crosscuts, separable lean only, trimmed to 1/4"" fat, choice, cooked, simmered",13228
"Beef, rib eye, small end (ribs 10-12), separable lean only, trimmed to 0"" fat, select, raw",13284
"Beef, chuck, under blade pot roast, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, braised",13285
"Beef, chuck, under blade pot roast or steak, boneless, separable lean only, trimmed to 0"" fat, all grades, raw",13293
"Beef, chuck, under blade pot roast or steak, boneless, separable lean only, trimmed to 0"" fat, choice, raw",13294
"Beef, ground, patties, frozen, cooked, broiled",13317
"Beef, variety meats and by-products, brain, raw",13318
"Beef, variety meats and by-products, brain, cooked, pan-fried",13319
"Beef, variety meats and by-products, brain, cooked, simmered",13320
"Beef, variety meats and by-products, heart, raw",13321
"Beef, variety meats and by-products, heart, cooked, simmered",13322
"Beef, variety meats and by-products, kidneys, raw",13323
"Beef, variety meats and by-products, kidneys, cooked, simmered",13324
"Beef, variety meats and by-products, liver, raw",13325
"Beef, variety meats and by-products, liver, cooked, braised",13326
"Beef, variety meats and by-products, liver, cooked, pan-fried",13327
"Beef, variety meats and by-products, lungs, raw",13328
"Beef, variety meats and by-products, lungs, cooked, braised",13329
"Beef, variety meats and by-products, mechanically separated beef, raw",13330
"Beef, variety meats and by-products, pancreas, raw",13331
"Beef, variety meats and by-products, pancreas, cooked, braised",13332
"Beef, variety meats and by-products, spleen, raw",13333
"Beef, variety meats and by-products, spleen, cooked, braised",13334
"Beef, variety meats and by-products, suet, raw",13335
"Beef, variety meats and by-products, thymus, raw",13337
"Beef, variety meats and by-products, thymus, cooked, braised",13338
"Beef, variety meats and by-products, tongue, raw",13339
"Beef, variety meats and by-products, tongue, cooked, simmered",13340
"Beef, variety meats and by-products, tripe, raw",13341
"Beef, sandwich steaks, flaked, chopped, formed and thinly sliced, raw",13342
"Beef, brisket, flat half, separable lean only, trimmed to 0"" fat, choice, cooked, braised",13343
"Beef, cured, breakfast strips, raw or unheated",13344
"Beef, cured, breakfast strips, cooked",13345
"Beef, cured, corned beef, brisket, raw",13346
"Beef, cured, corned beef, brisket, cooked",13347
"Beef, cured, corned beef, canned",13348
"Beef, chuck, under blade pot roast or steak, boneless, separable lean only, trimmed to 0"" fat, select, raw",13349
"Beef, cured, dried",13350
"Beef, chuck, under blade center steak, boneless, Denver Cut, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",13351
"Beef, chuck, under blade center steak, boneless, Denver Cut, separable lean only, trimmed to 0"" fat, choice, cooked, grilled",13352
"Beef, chuck, under blade center steak, boneless, Denver Cut, separable lean only, trimmed to 0"" fat, select, cooked, grilled",13354
"Beef, cured, pastrami",13355
"Beef, chuck, under blade center steak, boneless, Denver Cut, separable lean only, trimmed to 0"" fat, all grades, raw",13356
"Beef, cured, smoked, chopped beef",13358
"Beef, chuck, under blade center steak, boneless, Denver Cut, separable lean only, trimmed to 0"" fat, choice, raw",13359
"Beef, cured, thin-sliced beef",13360
"Beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 0"" fat, all grades, cooked",13361
"Beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 0"" fat, choice, cooked",13362
"Beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 0"" fat, select, cooked",13363
"Beef, composite of trimmed retail cuts, separable lean only, trimmed to 0"" fat, all grades, cooked",13364
"Beef, composite of trimmed retail cuts, separable lean only, trimmed to 0"" fat, choice, cooked",13365
"Beef, composite of trimmed retail cuts, separable lean only, trimmed to 0"" fat, select, cooked",13366
"Beef, brisket, whole, separable lean and fat, trimmed to 0"" fat, all grades, cooked, braised",13367
"Beef, brisket, whole, separable lean only, trimmed to 0"" fat, all grades, cooked, braised",13368
"Beef, brisket, flat half, separable lean and fat, trimmed to 0"" fat, all grades, cooked, braised",13369
"Beef, brisket, flat half, separable lean only, trimmed to 0"" fat, all grades, cooked, braised",13370
"Beef, brisket, point half, separable lean and fat, trimmed to 0"" fat, all grades, cooked, braised",13371
"Beef, brisket, point half, separable lean only, trimmed to 0"" fat, all grades, cooked, braised",13372
"Beef, chuck, arm pot roast, separable lean and fat, trimmed to 0"" fat, all grades, cooked, braised",13373
"Beef, chuck, arm pot roast, separable lean and fat, trimmed to 0"" fat, select, cooked, braised",13375
"Beef, chuck, arm pot roast, separable lean only, trimmed to 0"" fat, choice, cooked, braised",13377
"Beef, chuck, arm pot roast, separable lean only, trimmed to 0"" fat, select, cooked, braised",13378
"Beef, chuck, under blade pot roast, boneless, separable lean and fat, trimmed to 0"" fat, choice, cooked, braised",13380
"Beef, chuck, under blade pot roast, boneless, separable lean and fat, trimmed to 0"" fat, select, cooked, braised",13381
"Beef, chuck, blade roast, separable lean only, trimmed to 0"" fat, all grades, cooked, braised",13382
"Beef, chuck, under blade pot roast, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, braised",13383
"Beef, chuck, under blade pot roast, boneless, separable lean only, trimmed to 0"" fat, select, cooked, braised",13384
"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 0"" fat, choice, cooked, roasted",13386
"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 0"" fat, select, cooked, roasted",13387
"Beef, rib, large end (ribs 6-9), separable lean only, trimmed to 0"" fat, all grades, cooked, roasted",13388
"Beef, rib, large end (ribs 6-9), separable lean only, trimmed to 0"" fat, choice, cooked, roasted",13389
"Beef, rib, large end (ribs 6-9), separable lean only, trimmed to 0"" fat, select, cooked, roasted",13390
"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 0"" fat, all grades, cooked, broiled",13391
"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 0"" fat, choice, cooked, broiled",13392
"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 0"" fat, select, cooked, broiled",13393
"Beef, rib, small end (ribs 10-12), separable lean only, trimmed to 0"" fat, all grades, cooked, broiled",13394
"Beef, rib, small end (ribs 10-12), separable lean only, trimmed to 0"" fat, choice, cooked, broiled",13395
"Beef, rib, small end (ribs 10-12), separable lean only, trimmed to 0"" fat, select, cooked, broiled",13396
"Beef, round, bottom round, steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, braised",13398
"Beef, round, bottom round, roast, separable lean and fat, trimmed to 0"" fat, all grades, cooked, roasted",13399
"Beef, round, bottom round, steak, separable lean and fat, trimmed to 0"" fat, choice, cooked, braised",13401
"Beef, round, bottom round, roast, separable lean and fat, trimmed to 0"" fat, choice, cooked, roasted",13402
"Beef, round, bottom round, steak, separable lean and fat, trimmed to 0"" fat, select, cooked, braised",13404
"Beef, round, bottom round, roast, separable lean and fat, trimmed to 0"" fat, select, cooked, roasted",13405
"Beef, round, bottom round, steak, separable lean only, trimmed to 0"" fat, all grades, cooked, braised",13407
"Beef, round, bottom round, roast, separable lean only, trimmed to 0"" fat, all grades, cooked, roasted",13408
"Beef, round, bottom round, steak, separable lean only, trimmed to 0"" fat, choice, cooked, braised",13410
"Beef, round, bottom round, roast, separable lean only, trimmed to 0"" fat, choice, cooked, roasted",13411
"Beef, round, bottom round, steak, separable lean only, trimmed to 0"" fat, select, cooked, braised",13413
"Beef, round, bottom round roast, separable lean only, trimmed to 0"" fat, select, cooked, roasted",13414
"Beef, round, eye of round, roast, separable lean and fat, trimmed to 0"" fat, all grades, cooked, roasted",13415
"Beef, round, eye of round, roast, separable lean and fat, trimmed to 0"" fat, choice, cooked, roasted",13416
"Beef, round, eye of round, roast, separable lean and fat, trimmed to 0"" fat, select, cooked, roasted",13417
"Beef, round, eye of round, roast, separable lean only, trimmed to 0"" fat, all grades, cooked, roasted",13418
"Beef, round, eye of round, roast, separable lean only, trimmed to 0"" fat, choice, cooked, roasted",13419
"Beef, round, eye of round, roast, separable lean only, trimmed to 0"" fat, select, cooked, roasted",13420
"Beef, round, tip round, roast, separable lean and fat, trimmed to 0"" fat, all grades, cooked, roasted",13421
"Beef, round, tip round, roast, separable lean and fat, trimmed to 0"" fat, choice, cooked, roasted",13422
"Beef, round, tip round, roast, separable lean and fat, trimmed to 0"" fat, select, cooked, roasted",13423
"Beef, round, tip round, roast, separable lean only, trimmed to 0"" fat, all grades, cooked, roasted",13424
"Beef, round, tip round, roast, separable lean only, trimmed to 0"" fat, choice, cooked, roasted",13425
"Beef, round, tip round, roast, separable lean only, trimmed to 0"" fat, select, cooked, roasted",13426
"Beef, round, top round, separable lean and fat, trimmed to 0"" fat, all grades, cooked, braised",13428
"Beef, round, top round, separable lean and fat, trimmed to 0"" fat, choice, cooked, braised",13430
"Beef, round, top round, separable lean and fat, trimmed to 0"" fat, select, cooked, braised",13432
"Beef, round, top round, separable lean only, trimmed to 0"" fat, all grades, cooked, braised",13434
"Beef, round, top round, separable lean only, trimmed to 0"" fat, choice, cooked, braised",13436
"Beef, round, top round, separable lean only, trimmed to 0"" fat, select, cooked, braised",13438
"Beef, tenderloin, steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, broiled",13439
